term,bid,ask
1 WK,4.31178,4.31553
2 WK,4.31330,4.31731
3 WK,4.31710,4.32163
1 MO,4.31710,4.32640
2 MO,4.25131,4.33112
3 MO,4.32291,4.32930
4 MO,4.30013,4.30809
5 MO,4.26894,4.27606
6 MO,4.23874,4.24401
7 MO,4.20351,4.24401
8 MO,4.16885,4.17465
9 MO,4.14175,4.14675
10 MO,4.10740,4.11329
11 MO,4.07242,4.07815
12 MO,4.04610,4.05140
18 MO,3.82805,3.83322
2 YR,3.71153,3.71653
3 YR,3.61703,3.61198
4 YR,3.60602,3.61198
5 YR,3.62853,3.63608
6 YR,3.66959,3.67491
7 YR,3.71624,3.72155
8 YR,3.76239,3.76839
9 YR,3.80730,3.81290
10 YR,3.85116,3.85716
12 YR,3.94031,4.02735
15 YR,4.02145,4.02735
25 YR,4.08225,4.08816
30 YR,4.09843,4.10547
40 YR,4.06194,4.06834
50 YR,3.72183,3.73835
