expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,89.18,102.94,103.57,103.18,102.38,98.28,93.76,92.76,91.48,89.15,88.57,88.09
3Mo,97.94,104.99,105.28,104.32,103.75,100.63,97.21,96.08,94.40,91.61,90.61,90.09
6Mo,105.26,107.47,105.93,104.68,103.25,100.10,96.80,95.87,94.48,92.10,90.98,90.41
9Mo,108.19,107.15,106.15,104.44,102.52,99.49,96.36,95.39,93.93,91.46,90.34,89.92
1Yr,110.42,108.58,106.15,103.97,101.96,99.08,96.36,95.43,93.86,91.42,90.31,89.90
2Yr,106.64,104.27,102.34,101.11,99.80,97.52,95.14,94.43,92.82,90.85,89.62,89.31
3Yr,103.55,101.75,100.27,99.14,98.19,96.67,94.89,93.73,92.26,90.35,89.14,88.66
4Yr,101.20,99.68,98.81,98.10,97.22,95.95,94.42,93.19,91.34,89.48,88.48,88.19
5Yr,99.37,98.25,97.44,96.68,95.97,94.78,93.54,92.26,90.35,88.60,87.65,87.36
6Yr,97.72,96.81,96.02,95.38,94.85,93.63,92.35,91.00,89.00,87.34,86.46,86.23
7Yr,96.29,95.53,95.05,94.33,93.90,92.55,91.07,89.70,87.66,85.99,85.09,84.81
8Yr,94.94,94.31,93.57,93.05,92.48,91.14,89.59,88.25,86.24,84.75,83.82,83.63
9Yr,93.89,93.24,92.43,91.78,91.11,89.82,88.11,86.73,84.66,83.24,82.34,82.01
10Yr,92.82,92.13,91.30,90.50,89.81,88.43,86.62,85.27,83.24,81.99,81.11,80.83
12Yr,90.15,89.60,88.60,87.68,86.91,85.62,83.90,82.52,80.47,79.31,78.55,78.45
15Yr,86.05,85.70,84.52,83.72,82.68,81.35,79.65,78.44,76.62,75.42,74.80,74.70
20Yr,77.96,78.06,77.61,76.34,76.23,74.89,73.22,72.22,70.72,69.90,69.62,69.63
25Yr,77.66,77.06,76.01,74.83,73.61,72.27,70.30,69.44,68.16,67.61,67.06,67.61
30Yr,74.55,75.65,74.49,73.73,72.77,70.65,67.21,66.50,65.42,64.90,65.08,65.67
