expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,50.04,64.43,67.57,68.07,67.81,66.32,64.26,63.59,62.62,61.89,61.80,61.50
3Mo,59.94,70.11,72.18,72.22,72.51,70.05,68.15,67.66,66.97,65.70,65.21,64.96
6Mo,69.88,74.18,75.41,75.39,75.17,73.13,71.47,71.04,70.43,69.58,69.09,68.95
9Mo,73.39,76.88,77.11,76.81,76.42,74.64,73.25,72.81,72.19,71.30,70.90,70.79
1Yr,76.47,79.03,78.12,77.61,77.06,75.42,74.16,73.79,73.26,72.40,72.05,71.96
2Yr,80.28,80.34,79.64,79.32,78.81,77.68,76.80,76.19,75.31,74.37,73.89,73.78
3Yr,81.60,81.65,80.80,80.38,79.76,78.77,78.05,77.35,76.33,75.34,74.83,74.70
4Yr,82.44,82.30,81.96,81.45,80.99,79.92,78.92,78.04,76.77,75.69,75.11,74.95
5Yr,82.50,82.70,82.25,81.88,81.51,80.30,79.22,78.23,76.80,75.68,75.10,74.91
6Yr,82.64,82.95,82.29,81.86,81.60,80.40,79.14,78.10,76.60,75.39,74.78,74.64
7Yr,82.66,83.02,82.39,81.92,81.58,80.36,79.01,77.93,76.36,75.20,74.55,74.39
8Yr,82.49,82.77,82.28,81.78,81.27,80.00,78.61,77.49,75.87,74.72,74.03,73.89
9Yr,82.41,82.58,82.08,81.54,81.01,79.75,78.18,77.03,75.37,74.29,73.60,73.47
10Yr,82.35,82.39,81.83,81.27,80.75,79.30,77.76,76.58,74.90,73.74,73.16,72.95
12Yr,81.97,81.77,81.03,80.28,79.66,78.34,76.80,75.58,73.82,72.62,71.97,71.83
15Yr,81.30,80.76,79.51,78.64,78.03,76.92,75.39,74.08,72.20,70.94,70.33,70.19
20Yr,79.01,78.80,77.42,76.28,75.13,74.17,72.66,71.44,69.68,68.68,68.26,68.21
25Yr,76.57,77.66,76.32,74.40,72.84,71.17,70.22,69.19,67.71,66.84,66.48,66.57
30Yr,72.92,75.68,73.89,72.62,71.25,69.65,68.78,66.00,64.87,64.46,64.19,64.73
