date,zero_rate,forward_rate_6Mx6M
2026-03-18,,3.6935
2026-09-18,3.6935,3.5435
2027-03-18,3.6191,3.4258
2027-09-18,3.5543,3.3275
2028-03-18,3.4978,3.3746
2028-09-18,3.4731,3.3757
2029-03-18,3.4570,3.4611
2029-09-18,3.4576,3.4630
2030-03-18,3.4583,3.6201
2030-09-18,3.4764,3.6236
2031-03-18,3.4909,3.7846
2031-09-18,3.5178,3.7900
2032-03-18,3.5404,3.9280
2032-09-18,3.5704,3.9326
2033-03-18,3.5961,4.0379
2033-09-18,3.6257,4.0409
2034-03-18,3.6514,4.1641
2034-09-18,3.6818,4.1668
2035-03-18,3.7085,4.1747
2035-09-18,3.7332,4.1749
2036-03-18,3.7552,4.4094
2036-09-18,3.7866,4.4173
2037-03-18,3.8150,4.4173
2037-09-18,3.8414,4.4173
2038-03-18,3.8652,4.5604
2038-09-18,3.8932,4.5652
2039-03-18,3.9188,4.5652
2039-09-18,3.9429,4.5652
2040-03-18,3.9651,4.5652
2040-09-18,3.9859,4.5652
2041-03-18,4.0050,4.4757
2041-09-18,4.0203,4.4737
2042-03-18,4.0344,4.4737
2042-09-18,4.0478,4.4737
2043-03-18,4.0602,4.4737
2043-09-18,4.0721,4.4737
2044-03-18,4.0832,4.4737
2044-09-18,4.0939,4.4737
2045-03-18,4.1038,4.4737
2045-09-18,4.1133,4.4737
2046-03-18,4.1222,4.1322
2046-09-18,4.1225,4.1246
2047-03-18,4.1225,4.1246
2047-09-18,4.1226,4.1246
2048-03-18,4.1226,4.1246
2048-09-18,4.1227,4.1246
2049-03-18,4.1227,4.1246
2049-09-18,4.1228,4.1246
2050-03-18,4.1228,4.1246
2050-09-18,4.1228,4.1246
2051-03-18,4.1229,3.7596
2051-09-18,4.1157,3.7515
2052-03-18,4.1087,3.7515
2052-09-18,4.1019,3.7515
2053-03-18,4.0955,3.7515
2053-09-18,4.0892,3.7515
2054-03-18,4.0832,3.7515
2054-09-18,4.0774,3.7515
2055-03-18,4.0718,3.7515
2055-09-18,4.0663,3.7515
2056-03-18,4.0611,3.2580
