contract,price,cvx_adj,implied_rate
MAR 26+1,96.3375,0.54595,3.66567
APR 26+1,96.3350,0.52355,3.67024
MAY 26+1,96.3300,0.52884,3.67529
MAR 26+3,96.3100,-0.01598,3.68984
JUN 26+1,96.3400,0.49684,3.66497
JUL 26+1,96.3650,0.49234,3.63993
AUG 26+1,96.3900,0.40364,3.61404
JUN 26+3,96.3550,-0.08841,3.64411
SEP 26+1,96.4100,0.40433,3.59404
OCT 26+1,96.4350,0.37853,3.56879
NOV 26+1,96.4600,0.25809,3.54258
SEP 26+3,96.4350,-0.20780,3.56292
DEC 26+1,96.4900,0.27854,3.51279
JAN 27+1,96.5050,0.18140,3.49682
FEB 27+1,96.5300,0.11273,3.47113
DEC 26+3,96.5050,-0.37303,3.49127
MAR 27+1,96.5950,0.09198,3.40592
APR 27+1,96.5500,0.02133,3.45021
MAY 27+1,96.5700,-0.08721,3.42913
MAR 27+3,96.5500,-0.58318,3.44417
JUN 27+1,96.6150,-0.13949,3.38361
JUL 27+1,96.6350,-0.21353,3.36286
