expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,72.22,97.35,95.56,91.47,88.61,81.90,78.00,75.64,72.08,69.84,68.51,67.03
3Mo,80.69,95.78,94.00,92.67,91.06,86.86,82.52,81.17,79.20,76.29,75.23,74.55
6Mo,85.07,94.97,92.87,91.76,90.30,86.31,82.49,81.48,80.03,78.24,77.73,77.25
9Mo,90.50,94.42,91.73,90.47,89.22,85.94,83.02,81.97,80.45,78.65,78.07,77.80
1Yr,93.98,94.20,90.90,89.27,87.81,85.38,83.35,82.34,80.88,78.90,78.19,77.92
2Yr,95.44,93.66,90.84,89.33,87.43,85.48,83.87,82.89,81.46,79.94,79.19,78.90
3Yr,93.27,92.12,90.18,89.10,87.59,85.70,83.93,82.96,81.57,80.28,79.47,79.18
4Yr,91.86,90.19,88.96,87.98,87.01,85.43,83.83,82.82,81.34,80.18,79.43,79.19
5Yr,90.49,89.18,88.08,87.27,86.49,85.16,83.78,82.69,81.11,80.02,79.24,78.97
6Yr,89.70,88.54,87.50,86.88,86.39,85.04,83.65,82.51,80.85,79.70,78.92,78.74
7Yr,89.03,88.15,87.24,86.63,86.15,84.88,83.50,82.30,80.57,79.40,78.73,78.59
8Yr,88.12,87.61,86.88,86.33,85.80,84.55,83.14,81.92,80.14,79.04,78.20,78.03
9Yr,87.55,87.32,86.58,86.05,85.50,84.23,82.73,81.48,79.68,78.57,77.81,77.63
10Yr,87.07,86.86,86.25,85.72,85.24,83.89,82.32,81.05,79.23,77.99,77.37,77.16
12Yr,86.27,85.85,85.16,84.52,83.95,82.59,81.01,79.75,77.92,76.67,75.95,75.79
15Yr,85.10,84.36,83.55,82.72,82.02,80.63,79.05,77.76,75.88,74.59,73.96,73.79
20Yr,82.52,82.15,80.93,79.89,78.96,77.76,76.35,75.02,73.11,71.93,71.44,71.28
25Yr,79.68,79.89,78.58,77.54,76.50,75.36,73.71,72.56,70.90,69.80,69.39,69.49
30Yr,76.14,78.84,76.88,75.38,74.08,72.36,69.99,69.01,67.59,66.94,66.77,67.34
