expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,78.38,95.70,93.99,89.94,87.14,80.21,75.99,73.76,70.41,68.54,67.25,65.82
3Mo,82.02,95.77,93.24,91.23,89.00,84.58,79.90,78.60,76.73,73.94,72.72,71.88
6Mo,88.62,94.33,91.88,90.44,88.69,84.70,80.90,79.88,78.41,76.56,75.87,75.22
9Mo,93.07,94.04,91.09,89.57,89.09,84.62,81.40,80.40,78.94,77.23,76.50,76.08
1Yr,95.63,93.93,90.47,88.49,87.08,84.29,81.73,80.81,79.48,77.69,76.86,76.47
2Yr,94.76,92.63,89.81,88.30,86.41,84.39,82.65,81.69,80.30,78.80,78.02,77.70
3Yr,91.94,90.81,88.85,87.76,86.24,84.40,82.72,81.74,80.33,78.98,78.21,77.96
4Yr,90.35,88.81,87.57,86.58,85.61,84.08,82.55,81.52,80.02,78.81,78.13,77.89
5Yr,88.82,87.73,86.64,85.83,85.05,83.76,82.42,81.32,79.72,78.59,77.84,77.59
6Yr,88.09,87.07,86.05,85.45,84.98,83.62,82.19,81.04,79.37,78.19,77.43,77.28
7Yr,87.49,86.64,85.78,85.22,84.78,83.44,81.94,80.74,79.00,77.81,77.16,77.05
8Yr,86.63,86.13,85.40,84.86,84.35,83.04,81.57,80.34,78.57,77.45,76.62,76.46
9Yr,86.11,85.85,85.08,84.53,83.96,82.67,81.15,79.90,78.10,76.98,76.22,76.03
10Yr,85.68,85.40,84.74,84.15,83.60,82.27,80.72,79.46,77.64,76.40,75.76,75.55
12Yr,84.95,84.45,83.72,83.03,82.41,81.05,79.45,78.19,76.38,75.14,74.42,74.25
15Yr,83.89,83.06,82.22,81.36,80.63,79.19,77.54,76.26,74.41,73.15,72.53,72.38
20Yr,81.41,80.99,79.72,78.67,77.65,76.37,74.85,73.56,71.69,70.60,70.15,70.04
25Yr,78.65,78.83,77.46,76.36,75.26,74.08,72.37,71.25,69.64,68.63,68.19,68.26
30Yr,75.20,77.87,75.85,74.28,72.92,71.18,68.79,67.86,66.50,65.92,65.64,66.11
