expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,88.73,98.07,96.11,91.82,88.77,82.25,78.69,76.28,72.67,70.21,68.85,67.36
3Mo,90.08,99.68,95.79,92.50,89.08,84.65,79.97,78.62,76.67,73.75,72.53,71.69
6Mo,95.28,96.57,93.32,91.12,88.66,84.70,80.94,79.93,78.47,76.59,75.80,75.04
9Mo,97.92,95.63,92.19,90.20,88.26,84.62,81.14,80.17,78.76,77.09,76.28,75.78
1Yr,98.85,94.85,91.19,89.01,87.39,84.28,81.21,80.34,79.09,77.38,76.50,76.07
2Yr,94.54,92.10,89.21,87.73,85.86,83.77,81.93,80.99,79.62,78.14,77.36,77.04
3Yr,90.91,89.91,87.92,86.79,85.25,83.46,81.85,80.87,79.44,78.04,77.32,77.13
4Yr,89.09,87.76,86.50,85.49,84.51,83.01,81.56,80.52,79.02,77.77,77.09,76.92
5Yr,87.34,86.54,85.44,84.63,83.84,82.59,81.31,80.21,78.61,77.44,76.72,76.50
6Yr,86.68,85.84,84.83,84.24,83.79,82.41,80.97,79.82,78.16,76.96,76.21,76.08
7Yr,86.15,85.37,84.54,84.01,83.61,82.20,80.61,79.41,77.68,76.45,75.85,75.75
8Yr,85.32,84.86,84.13,83.60,83.08,81.73,80.18,78.96,77.20,76.08,75.26,75.11
9Yr,84.83,84.58,83.78,83.21,82.61,81.28,79.71,78.47,76.68,75.57,74.81,74.62
10Yr,84.43,84.14,83.41,82.77,82.17,80.81,79.24,77.99,76.18,74.96,74.31,74.09
12Yr,83.77,83.24,82.46,81.72,81.05,79.65,78.00,76.76,74.96,73.76,73.03,72.87
15Yr,82.82,81.93,81.06,80.16,79.39,77.88,76.14,74.88,73.06,71.85,71.25,71.12
20Yr,80.44,80.01,78.67,77.56,76.47,75.10,73.45,72.20,70.39,69.39,69.00,68.94
25Yr,77.77,77.93,76.49,75.32,74.15,72.91,71.12,70.05,68.51,67.57,67.10,67.15
30Yr,74.42,77.08,74.97,73.32,71.88,70.13,67.72,66.82,65.53,65.01,64.62,64.99
