expiry,1.50,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00
1Yr,106.97,95.22,83.28,71.79,62.66,65.38,77.87,91.38,104.96,118.40,131.61,144.59
2Yr,111.19,103.70,96.13,88.54,82.04,84.51,94.06,103.92,113.67,123.36,132.89,142.56
3Yr,104.71,99.24,94.22,89.87,86.88,90.48,99.32,108.75,118.28,127.86,137.43,146.96
4Yr,100.56,96.32,92.67,89.87,88.50,92.29,100.07,108.42,116.92,125.49,134.08,142.64
5Yr,97.64,94.27,91.50,89.59,89.06,92.74,99.59,106.93,114.45,122.07,129.71,137.38
6Yr,94.97,92.35,90.30,89.06,89.09,92.64,98.76,105.31,112.02,118.84,125.71,132.60
7Yr,92.29,90.21,88.67,87.89,88.28,91.65,97.18,103.08,109.15,115.35,121.61,127.91
8Yr,90.62,88.88,87.66,87.17,87.77,90.99,96.08,101.52,107.15,112.92,118.78,124.69
9Yr,88.96,87.56,86.64,86.41,87.16,90.23,94.93,99.95,105.15,110.48,115.91,121.40
10Yr,87.50,86.33,85.63,85.57,86.45,89.40,93.82,98.54,103.45,108.52,113.68,118.92
12Yr,86.84,85.77,85.16,85.19,86.10,88.84,92.85,97.20,101.80,106.62,111.54,116.58
15Yr,86.19,85.19,84.62,84.67,85.56,88.02,91.58,95.53,99.78,104.27,108.95,113.77
20Yr,85.89,84.84,84.25,84.29,85.16,87.40,90.67,94.42,98.54,102.97,107.58,112.49
25Yr,85.52,84.65,84.21,84.38,85.33,87.53,90.67,94.29,98.29,102.61,107.16,111.88
30Yr,84.88,83.95,83.50,83.67,84.63,86.77,89.84,93.41,97.40,101.71,106.26,110.98
