,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,3.6354,3.5171,3.4819,3.4851,3.5172,3.6154,3.7586,3.8524,3.9693,4.0692,4.0848,4.0599
3Mo,3.5903,3.4838,3.4644,3.4766,3.5159,3.6202,3.7658,3.8619,3.9776,4.0746,4.0879,4.0616
6Mo,3.5202,3.4435,3.4439,3.4699,3.5183,3.6303,3.7793,3.8779,3.9912,4.0837,4.0933,4.0649
9Mo,3.4586,3.4179,3.4329,3.4717,3.5273,3.645,3.7965,3.8964,4.0069,4.0942,4.1001,4.0694
1Yr,3.4097,3.4047,3.431,3.4811,3.5423,3.6639,3.8172,3.9171,4.0243,4.1061,4.108,4.0749
2Yr,3.3995,3.4422,3.5066,3.5784,3.6486,3.7737,3.9254,4.0166,4.1067,4.163,4.1482,4.1047
3Yr,3.4864,3.563,3.6423,3.7167,3.7814,3.8909,4.045,4.1217,4.1918,4.2209,4.1894,4.1354
4Yr,3.6424,3.7247,3.7993,3.8622,3.9245,4.0164,4.1609,4.2217,4.2707,4.2726,4.2253,4.1613
5Yr,3.8101,3.8823,3.9413,4.0021,4.0409,4.1427,4.2631,4.3078,4.3361,4.3126,4.251,4.1778
6Yr,3.9574,4.0109,4.0714,4.1045,4.1504,4.2552,4.3482,4.3774,4.3856,4.3394,4.2653,4.1838
7Yr,4.0665,4.132,4.1577,4.2038,4.2628,4.3507,4.4168,4.4309,4.42,4.3539,4.2688,4.1798
8Yr,4.2001,4.2062,4.2534,4.3172,4.3682,4.4329,4.4717,4.471,4.442,4.3584,4.2634,4.1677
9Yr,4.2125,4.2818,4.3596,4.4149,4.4522,4.4949,4.5081,4.4934,4.4486,4.3505,4.2472,4.1457
10Yr,4.3541,4.4381,4.4885,4.519,4.5384,4.5546,4.5396,4.5103,4.4505,4.3388,4.2276,4.1206
12Yr,4.5964,4.6076,4.6132,4.6136,4.6091,4.5876,4.5291,4.4794,4.4004,4.2713,4.1496,4.0356
15Yr,4.6147,4.6023,4.5856,4.5651,4.541,4.4841,4.3895,4.3271,4.2373,4.0985,3.9704,3.8532
20Yr,4.3577,4.318,4.2783,4.2394,4.2015,4.13,4.0303,3.968,3.8793,3.7411,3.6155,3.5057
25Yr,3.9594,3.9241,3.8893,3.8551,3.8217,3.7575,3.6655,3.6062,3.5207,3.3894,3.2761,3.1857
30Yr,3.6075,3.5749,3.5425,3.5104,3.4785,3.416,3.3259,3.2689,3.1889,3.0734,2.9846,2.9271
